"Antal nyfödda efter tilltalsnamn och år"

"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Petronella",20,16,23,14,11,13,..,11,..,..,..,..,..,..,..,..,..
"Philippa",..,19,15,20,18,20,20,28,22,15,11,..,15,13,15,11,..
"Pia",11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Pixie ",..,..,..,..,..,..,..,..,..,..,..,16,21,10,11,12,17
"Polly ",..,..,..,..,..,..,..,..,..,..,11,14,14,15,20,19,17
"Rahaf",..,..,..,..,..,..,..,..,..,..,..,..,13,..,13,..,10
"Rahma ",..,..,..,..,..,..,..,..,..,..,11,..,10,..,..,..,..
"Rakel",..,..,..,11,..,15,..,22,11,11,12,16,16,14,21,15,20
"Rama",..,..,..,..,..,..,..,..,..,..,..,..,15,..,..,..,..
"Rana",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Rania",..,..,11,..,10,..,..,..,..,17,15,..,13,16,..,16,10
"Rawan ",..,..,..,..,..,..,..,..,..,..,11,..,15,..,..,..,11
"Rayaan",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,14
"Rayan",..,..,..,..,..,..,..,..,..,..,..,..,21,18,15,17,23
"Rebecca",263,234,212,238,218,159,169,127,123,112,89,97,86,73,59,59,59
"Rebecka",299,242,205,180,170,162,164,154,128,125,103,84,83,67,53,53,45
"Regina",11,12,11,..,14,..,..,..,..,..,..,..,..,..,..,..,..
"Rim",10,12,..,..,12,..,..,..,..,..,11,10,12,..,..,..,..
"Rio ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..
"Rita",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,12,12
"Rojin",..,..,..,..,..,..,..,14,..,..,..,..,..,..,..,..,..
"Ronja",147,152,175,151,191,172,186,145,180,167,163,161,157,157,181,179,139
"Ronya ",..,..,..,..,..,..,..,..,11,13,13,..,10,..,11,14,11
"Rosa",..,..,..,..,..,..,11,..,14,15,12,12,16,12,12,22,14
"Rosanna",..,11,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..
"Roxanna ",..,..,..,..,..,..,..,..,..,..,..,10,..,10,10,..,11
"Ruth",..,..,10,..,15,10,11,10,10,18,28,42,43,49,59,50,65
"Rut",..,..,11,..,13,23,18,35,27,40,66,82,78,76,68,83,94
"Sabina",86,80,63,61,72,48,43,38,37,23,24,24,28,23,15,18,14
"Sabirin ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,..,..
"Sabrina",22,..,20,13,13,17,10,17,12,15,12,11,14,14,11,15,13
"Sabrin ",..,..,..,..,..,..,..,..,..,..,..,..,..,12,12,..,..
"Safa",..,..,..,..,..,..,..,..,11,..,..,10,..,11,13,16,17
"Safia ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,..
"Saga",170,204,292,288,393,433,536,503,531,492,463,506,484,431,483,501,501
"Sahra",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Sally",36,25,18,18,22,12,25,28,29,54,62,89,104,96,96,121,125
"Salma",11,14,15,19,27,16,23,34,28,35,45,37,47,37,42,61,51
"Sama ",..,..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,..
"Samantha",21,12,14,28,19,19,..,11,14,17,..,17,16,21,19,17,19
"Samira",12,21,17,11,17,11,14,21,19,20,20,15,25,13,24,22,17
"Sana",..,..,..,..,..,13,..,..,..,10,..,..,..,..,16,13,12
"Sandra",395,351,310,262,208,190,164,144,126,83,79,72,61,41,37,37,36
"Sandy",10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sanja ",..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..
"Sanna",261,214,223,168,163,177,137,99,116,110,83,81,62,65,48,46,29
"Sanne",11,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..
"Sarah",109,100,91,91,85,67,77,69,61,66,78,56,53,50,41,39,48
"Sara",609,594,620,542,546,469,452,462,401,384,366,329,285,254,258,224,225
"Sasha ",..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..
"Savannah",..,..,..,10,..,..,..,12,25,37,42,30,36,35,40,20,36
"Selena",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17
"Selina",..,..,..,12,15,11,..,10,..,14,10,..,..,16,14,16,26
"Selin",..,..,..,..,16,16,16,14,11,20,17,14,13,14,16,20,14
"Selma",49,77,111,146,193,174,183,245,273,309,319,375,356,360,379,391,386
"Sham",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Shams",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Shirin",..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..,..
"Sibel",..,..,..,..,..,..,..,..,..,..,..,..,11,..,12,..,..
"Sidra ",..,..,..,..,..,..,..,..,..,15,..,11,10,16,15,15,15
"Sienna",..,..,..,..,..,..,..,..,..,12,10,12,13,10,16,..,15
"Signe",48,38,55,82,81,102,114,134,186,252,247,303,352,362,393,414,427
"Sigrid",30,37,30,38,39,69,65,64,84,107,110,120,126,147,209,256,281
"Siham ",..,..,..,..,..,..,..,..,..,..,..,..,..,12,10,16,11
"Silje",..,11,..,..,..,..,..,..,..,..,13,..,..,15,10,..,14
"Silvia",..,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Simona",..,17,..,..,11,14,12,..,10,12,..,..,..,..,..,..,..
"Simone",35,52,38,31,34,21,23,31,19,29,24,27,31,24,30,22,29
"Siri",39,58,68,72,70,108,96,103,140,206,254,280,255,285,330,290,281
"Siv ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,14,..
"Smilla",11,33,48,72,128,120,113,109,103,102,108,86,100,69,66,39,48
"Sofia",542,489,463,473,402,425,355,345,336,321,240,290,239,249,285,260,258
"Sofie",221,197,137,134,148,124,125,113,89,85,85,73,79,69,69,53,57
"Sofi",13,19,14,..,..,..,15,..,..,..,11,10,..,..,..,..,..
"Sol",..,..,11,..,10,..,..,10,..,..,..,..,..,..,..,..,10
"Solveig",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..
"Sonia",13,..,..,..,17,13,12,..,12,11,14,..,16,..,14,13,14
"Sonja",20,22,13,24,31,29,37,38,39,65,58,66,65,69,82,79,86
"Sophia",43,36,34,32,29,33,36,39,52,31,34,37,48,52,44,46,75
"Sophie",45,40,44,33,37,49,48,40,31,43,44,59,47,57,58,52,55
"Stella",28,32,52,57,101,136,167,247,350,378,331,403,413,458,510,499,551
"Stephanie",52,39,39,26,31,37,24,21,26,27,21,22,28,29,30,27,35
"Stina",185,165,157,149,189,180,226,253,235,226,236,255,240,227,215,217,183
"Sumaya",..,..,..,..,10,..,10,..,..,..,19,15,19,14,32,21,37
"Sundus",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13
"Susanna",25,19,19,18,20,19,..,..,..,14,..,..,..,..,..,..,..
"Svea",..,..,..,11,10,23,40,66,78,110,154,185,179,173,196,217,173
"Talia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17
"Tamara",..,..,..,10,..,..,..,..,..,..,..,11,13,..,..,..,..
"Tania ",..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..
"Tanja",23,17,12,14,17,18,13,..,..,11,11,..,..,..,..,..,..
"Tanya",12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tara",11,10,13,16,18,12,27,27,31,23,24,16,15,20,19,22,21
"Tea",29,29,34,56,79,57,76,46,94,60,70,49,62,44,44,54,17
"Tekla",..,..,..,..,..,12,..,13,17,14,15,13,..,..,12,..,..
"Telma",..,..,..,..,10,..,..,11,10,..,..,..,..,..,10,12,..
"Teodora",..,..,..,..,..,..,..,..,12,..,10,10,..,..,..,13,..
"Terese",20,23,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Teresia",..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Tess",16,16,27,27,34,45,55,41,37,39,19,37,20,27,15,12,..
"Thea",50,70,103,158,311,386,374,353,320,277,293,313,313,294,220,219,211
"Thelise ",..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,..
"Thelma",..,..,..,58,52,26,35,25,27,30,40,33,36,40,27,34,31
"Theodora",..,..,..,..,..,10,..,..,..,11,..,..,..,..,14,13,10
"Therese",127,116,67,73,60,31,35,27,22,22,16,10,12,13,..,..,..
"Therése",15,19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Thilda",15,15,20,25,42,46,43,33,38,24,20,30,29,24,38,28,20
"Thilde",..,..,18,29,28,43,35,37,27,29,24,37,82,54,46,54,43
"Thindra",..,..,..,..,..,16,26,27,25,27,21,14,12,..,17,19,16
"Thyra",..,..,..,11,16,23,37,29,39,28,29,19,27,30,27,31,28
"Tiara",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,11
"Tiffany",12,11,13,19,23,17,13,26,11,14,13,..,18,..,14,11,..
"Tilda",152,229,373,416,524,505,510,432,432,340,312,268,279,211,180,165,154
"Tilde",57,132,257,377,413,426,440,378,327,342,311,288,349,271,237,225,207
"Tilia ",..,..,..,..,..,..,11,..,10,11,13,14,11,11,12,10,18
"Tilja ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Tillie",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Tilly ",..,..,..,..,..,..,11,10,15,14,13,31,13,12,20,19,24
"Tina",29,38,39,22,36,36,33,21,31,23,21,24,21,18,13,..,14
"Tindra",..,25,49,126,314,440,467,499,486,404,379,339,293,229,176,160,146
"Tintin",10,13,22,19,18,17,19,20,13,19,16,..,..,10,12,10,14
"Tone",..,..,..,..,..,11,..,11,..,..,..,..,..,..,..,10,..
"Tora",21,19,24,36,28,26,32,23,22,32,31,23,42,38,29,34,32
"Tova",82,138,172,173,196,200,202,174,156,127,76,86,116,79,68,67,53
"Towa",11,..,14,12,13,11,11,18,..,..,..,..,..,..,..,..,..
"Tove",117,130,142,161,148,153,111,101,109,83,64,71,207,177,130,112,104
"Towe",14,..,..,15,..,..,..,..,..,..,..,..,11,..,..,..,..
"Tua",..,..,..,11,..,..,12,..,..,..,..,..,..,..,..,..,..
"Tuva",47,68,103,198,271,290,373,360,382,407,407,384,413,384,339,274,289
"Tuwa ",..,..,..,..,..,..,16,..,14,17,12,..,12,..,16,12,10
"Tuva-Li ",..,..,..,..,..,..,..,..,12,..,13,12,19,17,12,23,19
"Tyra",26,40,44,87,106,181,192,277,338,308,316,303,382,303,333,291,302
"Ulrika",22,11,..,13,11,..,..,..,..,..,..,..,..,..,..,..,..
"Uma",..,..,..,..,..,..,..,..,..,12,10,..,13,..,..,..,14
"Unni ",..,..,..,..,..,..,..,..,..,..,..,12,..,..,..,..,10
"Valencia ",..,..,..,..,..,..,..,..,..,..,..,..,14,..,..,15,..
"Valentina",17,17,17,15,20,25,27,17,17,26,30,42,35,49,44,44,41
"Valeria",..,..,..,..,..,..,..,..,..,..,..,..,..,12,..,13,14
"Vanesa",..,..,..,..,..,10,..,..,..,..,..,..,..,..,..,..,..
"Vanessa",63,63,79,71,89,67,83,88,97,103,89,116,113,103,84,78,94
"Vanja",19,20,19,23,23,26,26,24,21,28,26,29,26,20,23,22,26
"Vanna",..,..,..,..,..,10,..,13,11,13,14,12,..,13,..,..,..
"Vega",..,..,..,..,14,15,22,23,29,28,34,28,46,51,45,43,65
"Vendela",103,103,106,102,123,119,135,115,110,90,103,87,78,58,44,63,42
"Wendela",..,..,27,..,..,12,15,..,..,15,11,12,17,11,12,14,11
"Vera",46,63,67,111,102,147,175,207,231,271,281,314,381,373,377,414,409
"Wera",..,..,..,10,..,14,..,..,11,17,15,17,18,27,25,32,22
"Veronica",46,49,38,22,23,20,10,12,14,23,..,14,13,10,11,..,12
"Veronika",..,16,19,..,10,..,14,10,11,..,..,10,12,11,10,..,..
"Whilma",..,..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..
"Victoria",210,194,179,121,134,123,96,99,81,78,84,88,77,82,85,78,84
"Vida ",..,..,..,..,..,..,11,13,..,11,15,16,20,19,23,44,38
"Viktoria",101,86,85,61,67,60,60,47,49,50,51,42,39,45,33,34,37
"Wiktoria",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..
"Vilda",..,..,15,..,18,33,33,35,42,64,64,80,73,84,94,72,62
"Wilda",..,..,..,15,25,26,40,34,56,45,59,63,81,59,51,70,51
"Vilhelmina",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,17
"Wilhelmina",..,..,..,..,..,..,..,..,..,..,10,10,13,10,..,..,11
"Vilja",..,..,..,..,11,14,18,20,23,23,31,46,53,43,50,42,38
"Wilja ",..,..,..,..,..,..,..,..,..,..,11,18,21,23,21,30,25
"Villemo",..,..,..,..,..,..,..,10,..,..,..,..,..,13,14,..,..
"Vilma",258,271,242,157,155,157,174,154,191,196,135,158,187,148,137,140,139
"Wilma",575,573,887,731,732,713,623,592,652,719,562,504,546,503,433,456,432
"Viola",13,17,19,11,14,21,14,32,36,52,63,66,76,79,81,89,89
"Vira ",..,..,..,..,..,..,..,..,..,10,..,..,11,..,..,10,12
"Yara ",..,..,..,..,..,..,..,14,13,20,26,25,26,26,34,18,24
"Yasmina",..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,..,..
"Yasmine",17,21,18,19,21,27,21,22,31,21,20,24,20,14,18,18,20
"Yasmin",12,25,29,23,19,28,31,26,36,47,49,40,48,51,51,43,44
"Ylva",37,40,32,52,49,62,41,32,42,51,41,58,46,39,48,56,47
"Yrsa",..,..,..,..,17,..,..,..,..,..,..,..,..,..,..,..,..
"Yusra",..,..,..,..,..,..,..,..,..,10,..,..,17,10,14,16,25
"Zahraa",..,..,..,..,10,..,..,14,..,18,20,14,16,16,17,18,..
"Zahra",13,14,10,13,19,13,21,25,26,21,18,28,29,20,27,26,33
"Zainab",..,14,13,..,..,12,12,16,..,14,15,27,20,21,28,19,26
"Zandra",14,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Zanna",..,..,..,..,13,..,..,..,..,..,..,..,..,..,..,..,..
"Zara",..,..,11,12,14,14,..,..,17,14,13,21,..,15,18,18,17
"Zeinab",..,10,10,..,10,..,..,..,..,11,12,12,12,10,13,19,..
"Zelda ",..,..,..,..,..,..,..,17,11,13,19,24,27,30,28,27,46
"Zeynep",..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..,..
"Zilan",..,..,..,..,..,..,..,..,11,..,..,..,..,..,..,..,..
"Zoe",..,..,..,..,11,12,..,..,22,28,24,26,29,43,40,52,50
"Zoé",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Zoey ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,26,30,27
"Zuzanna",..,..,..,..,..,..,..,..,..,..,..,10,..,15,..,..,..
"Åsa",13,13,18,10,..,10,..,17,..,..,..,..,..,..,..,..,..
"Ängla",..,..,..,..,..,11,..,24,36,31,28,11,..,12,13,..,..
